iter	Passed	Remaining
0	146	146145
1	146	73330
2	148	49192
3	149	37154
4	150	29920
5	152	25186
6	153	21719
7	154	19176
8	155	17124
9	156	15512
10	157	14174
11	158	13055
12	159	12115
13	160	11318
14	161	10630
15	163	10026
16	164	9497
17	165	9030
18	166	8611
19	167	8215
20	168	7872
21	169	7538
22	170	7238
23	171	6956
24	171	6706
25	172	6476
26	173	6262
27	174	6057
28	175	5872
29	176	5715
30	177	5548
31	178	5396
32	179	5255
33	179	5113
34	180	4982
35	181	4860
36	182	4741
37	182	4630
38	183	4524
39	184	4425
40	185	4329
41	185	4237
42	186	4149
43	187	4063
44	187	3982
45	188	3908
46	189	3835
47	189	3762
48	190	3695
49	191	3630
50	191	3564
51	192	3503
52	192	3444
53	193	3386
54	193	3328
55	194	3273
56	194	3225
57	195	3180
58	196	3133
59	197	3086
60	197	3037
61	197	2991
62	198	2945
63	198	2904
64	199	2863
65	199	2824
66	200	2788
67	200	2752
68	201	2720
69	202	2687
70	202	2655
71	203	2624
72	204	2593
73	204	2563
74	205	2534
75	206	2508
76	207	2483
77	207	2456
78	208	2428
79	208	2402
80	209	2378
81	210	2354
82	210	2331
83	211	2308
84	212	2285
85	212	2263
86	213	2240
87	214	2218
88	214	2194
89	214	2173
90	215	2153
91	216	2133
92	216	2114
93	217	2095
94	218	2076
95	218	2057
96	219	2039
97	219	2022
98	220	2004
99	220	1987
100	221	1971
101	222	1955
102	222	1940
103	223	1924
104	223	1909
105	224	1894
106	225	1880
107	225	1865
108	226	1851
109	227	1837
110	227	1823
111	228	1810
112	228	1796
113	229	1783
114	229	1769
115	230	1755
116	230	1743
117	231	1730
118	232	1717
119	232	1705
120	233	1693
121	233	1681
122	234	1670
123	234	1658
124	235	1647
125	235	1636
126	236	1625
127	236	1614
128	237	1602
129	237	1591
130	238	1581
131	238	1571
132	239	1562
133	240	1553
134	241	1545
135	241	1535
136	242	1526
137	242	1517
138	243	1508
139	244	1498
140	244	1490
141	245	1481
142	245	1472
143	246	1463
144	246	1454
145	247	1446
146	247	1438
147	248	1429
148	248	1420
149	249	1412
150	249	1404
151	250	1396
152	250	1389
153	251	1381
154	251	1373
155	252	1366
156	252	1358
157	253	1350
158	253	1343
159	254	1336
160	255	1330
161	255	1324
162	256	1317
163	257	1311
164	257	1304
165	258	1297
166	258	1290
167	259	1283
168	259	1277
169	260	1271
170	260	1264
171	261	1258
172	261	1252
173	262	1246
174	263	1240
175	263	1234
176	264	1228
177	264	1222
178	265	1216
179	265	1210
180	266	1205
181	266	1199
182	267	1194
183	268	1188
184	268	1183
185	269	1177
186	269	1172
187	270	1168
188	271	1163
189	271	1158
190	272	1153
191	272	1148
192	273	1143
193	274	1138
194	274	1133
195	275	1128
196	275	1123
197	276	1118
198	276	1114
199	277	1109
200	277	1104
201	278	1100
202	279	1095
203	279	1091
204	280	1086
205	280	1081
206	281	1077
207	281	1072
208	282	1068
209	282	1064
210	283	1059
211	283	1055
212	284	1051
213	285	1046
214	285	1043
215	286	1039
216	286	1035
217	287	1031
218	287	1027
219	288	1023
220	289	1018
221	289	1015
222	290	1011
223	290	1007
224	291	1003
225	291	999
226	292	995
227	292	991
228	293	988
229	294	984
230	294	980
231	295	976
232	295	973
233	296	969
234	296	965
235	297	962
236	297	958
237	298	954
238	298	951
239	299	948
240	299	944
241	300	941
242	301	937
243	301	934
244	302	931
245	302	928
246	303	924
247	303	921
248	304	918
249	305	915
250	305	912
251	306	908
252	306	905
253	307	902
254	307	899
255	308	896
256	309	893
257	309	890
258	310	887
259	310	884
260	311	881
261	311	878
262	312	875
263	312	872
264	313	869
265	313	866
266	314	863
267	315	860
268	315	857
269	316	855
270	317	852
271	317	850
272	318	847
273	318	844
274	319	841
275	319	839
276	320	836
277	321	833
278	321	831
279	322	828
280	322	825
281	323	822
282	323	820
283	324	817
284	324	814
285	325	812
286	325	809
287	326	806
288	326	804
289	327	801
290	328	799
291	328	796
292	329	794
293	329	791
294	330	789
295	330	786
296	331	784
297	332	782
298	332	779
299	333	777
300	333	774
301	334	772
302	334	770
303	335	768
304	336	765
305	336	763
306	337	761
307	337	758
308	338	756
309	338	753
310	339	751
311	339	749
312	340	747
313	340	744
314	341	742
315	342	740
316	342	738
317	343	735
318	343	733
319	344	731
320	344	729
321	345	727
322	345	725
323	346	723
324	347	721
325	347	719
326	348	717
327	348	714
328	349	712
329	350	710
330	350	708
331	351	706
332	351	704
333	352	702
334	352	700
335	353	698
336	353	696
337	354	693
338	354	692
339	355	689
340	355	687
341	356	685
342	357	684
343	357	682
344	358	680
345	358	678
346	359	676
347	359	674
348	360	672
349	360	670
350	361	668
351	362	667
352	362	665
353	363	663
354	364	661
355	364	660
356	365	658
357	366	656
358	366	655
359	367	653
360	368	652
361	369	650
362	369	648
363	370	647
364	371	645
365	371	643
366	372	642
367	373	640
368	373	639
369	374	637
370	375	636
371	376	635
372	377	633
373	378	632
374	378	631
375	379	630
376	380	628
377	381	627
378	381	625
379	382	623
380	383	622
381	383	620
382	384	619
383	384	617
384	385	616
385	386	614
386	386	612
387	387	611
388	388	609
389	388	608
390	389	606
391	390	605
392	391	604
393	392	603
394	393	601
395	393	600
396	394	599
397	395	597
398	395	596
399	396	594
400	397	593
401	398	592
402	398	590
403	399	589
404	400	588
405	400	586
406	401	585
407	402	583
408	402	581
409	403	580
410	404	579
411	404	577
412	405	576
413	406	574
414	406	573
415	407	572
416	408	570
417	408	569
418	409	567
419	410	566
420	410	564
421	411	563
422	411	561
423	412	560
424	413	558
425	413	557
426	414	555
427	414	554
428	415	552
429	415	551
430	416	549
431	417	548
432	417	546
433	418	545
434	418	544
435	419	542
436	420	541
437	420	539
438	421	538
439	422	537
440	422	536
441	423	534
442	424	533
443	425	532
444	426	531
445	426	530
446	427	528
447	427	527
448	428	525
449	429	524
450	429	522
451	430	521
452	430	520
453	431	518
454	432	517
455	432	516
456	433	514
457	434	513
458	434	512
459	435	510
460	435	509
461	436	508
462	437	507
463	437	505
464	438	504
465	439	503
466	439	502
467	440	500
468	441	499
469	441	498
470	442	496
471	442	495
472	443	494
473	444	493
474	445	491
475	445	490
476	446	489
477	446	487
478	447	486
479	447	485
480	448	484
481	449	482
482	450	481
483	450	480
484	451	479
485	452	478
486	452	476
487	453	475
488	454	474
489	454	473
490	455	472
491	456	470
492	456	469
493	457	468
494	458	467
495	458	466
496	459	465
497	460	463
498	460	462
499	461	461
500	461	460
501	462	458
502	463	457
503	463	456
504	464	455
505	465	454
506	466	453
507	466	452
508	467	450
509	468	449
510	468	448
511	469	447
512	470	446
513	471	445
514	471	444
515	472	443
516	473	442
517	473	440
518	474	439
519	475	438
520	475	437
521	476	436
522	477	435
523	477	433
524	478	433
525	479	431
526	480	430
527	480	429
528	481	428
529	482	427
530	482	426
531	483	425
532	484	424
533	485	423
534	485	422
535	486	421
536	487	420
537	487	419
538	488	417
539	489	416
540	490	415
541	490	414
542	491	413
543	492	412
544	493	411
545	493	410
546	494	409
547	495	408
548	495	407
549	496	406
550	497	405
551	497	404
552	498	403
553	499	402
554	500	401
555	501	400
556	501	399
557	502	398
558	503	396
559	503	395
560	504	394
561	505	393
562	505	392
563	506	391
564	507	390
565	507	389
566	508	388
567	509	387
568	509	386
569	510	385
570	512	384
571	512	383
572	513	382
573	514	381
574	514	380
575	515	379
576	516	378
577	517	377
578	518	376
579	518	375
580	519	374
581	520	373
582	520	372
583	521	371
584	522	370
585	522	369
586	523	368
587	523	367
588	524	366
589	525	365
590	526	364
591	526	362
592	527	361
593	527	360
594	528	359
595	529	358
596	530	358
597	531	357
598	532	356
599	532	355
600	533	354
601	534	353
602	534	352
603	535	350
604	535	349
605	536	348
606	537	347
607	537	346
608	538	345
609	539	344
610	539	343
611	540	342
612	540	341
613	541	340
614	542	339
615	542	338
616	543	337
617	544	336
618	545	335
619	545	334
620	546	333
621	547	332
622	548	331
623	548	330
624	549	329
625	550	328
626	550	327
627	551	326
628	552	325
629	552	324
630	553	323
631	554	322
632	555	321
633	555	320
634	556	319
635	557	318
636	557	317
637	558	316
638	559	316
639	560	315
640	561	314
641	561	313
642	562	312
643	563	311
644	563	310
645	564	309
646	565	308
647	565	307
648	566	306
649	567	305
650	568	304
651	568	303
652	569	302
653	570	301
654	570	300
655	571	299
656	572	298
657	572	297
658	573	296
659	574	295
660	574	294
661	575	293
662	576	292
663	576	291
664	577	290
665	578	289
666	578	288
667	579	287
668	580	287
669	580	286
670	581	285
671	581	284
672	582	283
673	583	282
674	584	281
675	584	280
676	585	279
677	585	278
678	586	277
679	587	276
680	588	275
681	588	274
682	589	273
683	590	272
684	591	271
685	591	270
686	592	270
687	593	269
688	594	268
689	594	267
690	595	266
691	596	265
692	596	264
693	597	263
694	598	262
695	598	261
696	599	260
697	600	259
698	600	258
699	601	257
700	602	256
701	603	256
702	603	255
703	604	254
704	605	253
705	606	252
706	606	251
707	607	250
708	608	249
709	609	249
710	610	248
711	611	247
712	611	246
713	612	245
714	613	244
715	613	243
716	614	242
717	615	241
718	616	240
719	616	239
720	617	238
721	618	237
722	618	237
723	619	236
724	620	235
725	620	234
726	621	233
727	622	232
728	623	231
729	623	230
730	624	229
731	625	228
732	626	228
733	626	227
734	627	226
735	628	225
736	628	224
737	629	223
738	630	222
739	630	221
740	631	220
741	632	219
742	632	218
743	633	217
744	634	217
745	634	216
746	635	215
747	636	214
748	637	213
749	637	212
750	638	211
751	639	210
752	639	209
753	640	208
754	640	207
755	641	207
756	642	206
757	643	205
758	643	204
759	644	203
760	644	202
761	645	201
762	646	200
763	646	199
764	647	198
765	648	197
766	648	197
767	649	196
768	650	195
769	650	194
770	651	193
771	652	192
772	653	191
773	653	190
774	654	190
775	655	189
776	655	188
777	656	187
778	657	186
779	657	185
780	658	184
781	658	183
782	659	182
783	660	181
784	661	181
785	661	180
786	662	179
787	663	178
788	663	177
789	664	176
790	665	175
791	665	174
792	666	174
793	667	173
794	668	172
795	668	171
796	669	170
797	670	169
798	671	168
799	671	167
800	672	167
801	672	166
802	673	165
803	674	164
804	675	163
805	675	162
806	676	161
807	676	160
808	677	159
809	678	159
810	678	158
811	679	157
812	680	156
813	681	155
814	681	154
815	682	153
816	682	152
817	683	152
818	684	151
819	685	150
820	685	149
821	686	148
822	687	147
823	688	146
824	688	146
825	689	145
826	689	144
827	690	143
828	691	142
829	692	141
830	692	140
831	693	140
832	694	139
833	694	138
834	695	137
835	695	136
836	696	135
837	697	134
838	698	133
839	698	133
840	699	132
841	700	131
842	701	130
843	701	129
844	702	128
845	702	127
846	703	127
847	704	126
848	704	125
849	705	124
850	706	123
851	706	122
852	707	121
853	708	121
854	708	120
855	709	119
856	709	118
857	710	117
858	711	116
859	711	115
860	712	115
861	713	114
862	714	113
863	714	112
864	715	111
865	715	110
866	716	109
867	717	109
868	717	108
869	718	107
870	719	106
871	719	105
872	720	104
873	721	103
874	721	103
875	722	102
876	723	101
877	723	100
878	724	99
879	725	98
880	725	98
881	726	97
882	727	96
883	728	95
884	728	94
885	729	93
886	730	93
887	731	92
888	731	91
889	732	90
890	733	89
891	733	88
892	734	88
893	735	87
894	735	86
895	736	85
896	736	84
897	737	83
898	738	82
899	738	82
900	739	81
901	739	80
902	740	79
903	741	78
904	741	77
905	742	77
906	743	76
907	743	75
908	744	74
909	744	73
910	745	72
911	746	71
912	746	71
913	747	70
914	747	69
915	748	68
916	749	67
917	749	66
918	750	66
919	750	65
920	751	64
921	752	63
922	752	62
923	753	61
924	753	61
925	754	60
926	755	59
927	755	58
928	756	57
929	756	56
930	757	56
931	758	55
932	758	54
933	759	53
934	759	52
935	760	51
936	760	51
937	761	50
938	762	49
939	762	48
940	763	47
941	763	47
942	764	46
943	764	45
944	765	44
945	766	43
946	766	42
947	767	42
948	767	41
949	768	40
950	768	39
951	769	38
952	770	37
953	770	37
954	771	36
955	772	35
956	772	34
957	773	33
958	773	33
959	774	32
960	775	31
961	775	30
962	776	29
963	776	29
964	777	28
965	778	27
966	778	26
967	779	25
968	779	24
969	780	24
970	781	23
971	781	22
972	782	21
973	782	20
974	783	20
975	784	19
976	784	18
977	785	17
978	785	16
979	786	16
980	787	15
981	787	14
982	788	13
983	788	12
984	789	12
985	790	11
986	790	10
987	791	9
988	791	8
989	792	8
990	793	7
991	793	6
992	794	5
993	794	4
994	795	3
995	795	3
996	796	2
997	797	1
998	797	0
999	798	0
